commit,arch,board_repr,lanes,depth,precision,state_id,category,root_candidates,leaf_candidates,rotation,x,y,score,no_move,core_cycles,request_interval_cycles,driver
4847cf9e0fa16c93cfc9f9fbddad016bcf1ffb01-dirty,1,1,1,1,4,802,blocked_spawn,17,0,1,6,0,-6867,0,603,605,native
4847cf9e0fa16c93cfc9f9fbddad016bcf1ffb01-dirty,1,1,1,1,4,801,equal_scores,34,0,3,0,6,-2214,0,1538,1540,native
4847cf9e0fa16c93cfc9f9fbddad016bcf1ffb01-dirty,1,1,1,1,4,0,heuristic_trajectory,17,0,0,5,2,-1689,0,773,775,native
4847cf9e0fa16c93cfc9f9fbddad016bcf1ffb01-dirty,1,1,1,1,4,600,high_stack_holes,34,0,1,4,16,-9279,0,858,860,native
4847cf9e0fa16c93cfc9f9fbddad016bcf1ffb01-dirty,1,1,1,1,4,800,last_candidate_winner,17,0,1,9,1,-4419,0,773,775,native
4847cf9e0fa16c93cfc9f9fbddad016bcf1ffb01-dirty,1,1,1,1,4,839,no_move,34,0,0,0,0,0,1,382,384,native
4847cf9e0fa16c93cfc9f9fbddad016bcf1ffb01-dirty,1,1,1,1,4,300,random_trajectory,34,0,1,4,14,-5580,0,1538,1540,native
4847cf9e0fa16c93cfc9f9fbddad016bcf1ffb01-dirty,1,1,1,1,4,845,walls,34,0,0,0,0,-816,0,1538,1540,native
4847cf9e0fa16c93cfc9f9fbddad016bcf1ffb01-dirty,1,1,1,1,4,817,wells,9,0,0,0,6,-2958,0,413,415,native
4847cf9e0fa16c93cfc9f9fbddad016bcf1ffb01-dirty,1,1,1,1,4,806,blocked_spawn,34,0,0,0,18,-9093,0,824,826,native
4847cf9e0fa16c93cfc9f9fbddad016bcf1ffb01-dirty,1,1,1,1,4,805,equal_scores,17,0,0,1,0,-714,0,773,775,native
4847cf9e0fa16c93cfc9f9fbddad016bcf1ffb01-dirty,1,1,1,1,4,1,heuristic_trajectory,17,0,1,0,3,-2006,0,773,775,native
4847cf9e0fa16c93cfc9f9fbddad016bcf1ffb01-dirty,1,1,1,1,4,601,high_stack_holes,34,0,3,0,16,-10245,0,790,792,native
4847cf9e0fa16c93cfc9f9fbddad016bcf1ffb01-dirty,1,1,1,1,4,803,last_candidate_winner,9,0,0,5,9,-4893,0,413,415,native
4847cf9e0fa16c93cfc9f9fbddad016bcf1ffb01-dirty,1,1,1,1,4,882,no_move,17,0,0,0,0,0,1,195,197,native
4847cf9e0fa16c93cfc9f9fbddad016bcf1ffb01-dirty,1,1,1,1,4,301,random_trajectory,34,0,1,7,4,-4680,0,1538,1540,native
4847cf9e0fa16c93cfc9f9fbddad016bcf1ffb01-dirty,1,1,1,1,4,851,walls,34,0,0,0,2,-816,0,1538,1540,native
4847cf9e0fa16c93cfc9f9fbddad016bcf1ffb01-dirty,1,1,1,1,4,827,wells,17,0,1,3,5,-2943,0,773,775,native
4847cf9e0fa16c93cfc9f9fbddad016bcf1ffb01-dirty,1,1,1,1,4,808,blocked_spawn,17,0,1,1,0,-8154,0,501,503,native
4847cf9e0fa16c93cfc9f9fbddad016bcf1ffb01-dirty,1,1,1,1,4,809,equal_scores,9,0,0,2,2,-1311,0,413,415,native
4847cf9e0fa16c93cfc9f9fbddad016bcf1ffb01-dirty,1,1,1,1,4,2,heuristic_trajectory,17,0,0,5,2,-1424,0,773,775,native
4847cf9e0fa16c93cfc9f9fbddad016bcf1ffb01-dirty,1,1,1,1,4,602,high_stack_holes,34,0,1,5,14,-8664,0,1538,1540,native
4847cf9e0fa16c93cfc9f9fbddad016bcf1ffb01-dirty,1,1,1,1,4,804,last_candidate_winner,17,0,1,2,7,-2550,0,773,775,native
4847cf9e0fa16c93cfc9f9fbddad016bcf1ffb01-dirty,1,1,1,1,4,888,no_move,34,0,0,0,0,0,1,382,384,native
4847cf9e0fa16c93cfc9f9fbddad016bcf1ffb01-dirty,1,1,1,1,4,302,random_trajectory,34,0,1,7,4,-4680,0,1538,1540,native
4847cf9e0fa16c93cfc9f9fbddad016bcf1ffb01-dirty,1,1,1,1,4,898,walls,9,0,0,0,2,-816,0,413,415,native
4847cf9e0fa16c93cfc9f9fbddad016bcf1ffb01-dirty,1,1,1,1,4,832,wells,17,0,1,2,5,-2807,0,773,775,native
4847cf9e0fa16c93cfc9f9fbddad016bcf1ffb01-dirty,1,1,1,1,4,811,blocked_spawn,17,0,0,0,0,-4332,0,671,673,native
4847cf9e0fa16c93cfc9f9fbddad016bcf1ffb01-dirty,1,1,1,1,4,821,equal_scores,34,0,1,2,3,-2607,0,1538,1540,native
4847cf9e0fa16c93cfc9f9fbddad016bcf1ffb01-dirty,1,1,1,1,4,3,heuristic_trajectory,34,0,1,6,0,-725,0,1538,1540,native
4847cf9e0fa16c93cfc9f9fbddad016bcf1ffb01-dirty,1,1,1,1,4,603,high_stack_holes,34,0,1,6,14,-9105,0,1232,1234,native
4847cf9e0fa16c93cfc9f9fbddad016bcf1ffb01-dirty,1,1,1,1,4,807,last_candidate_winner,17,0,1,8,2,-1643,0,773,775,native
4847cf9e0fa16c93cfc9f9fbddad016bcf1ffb01-dirty,1,1,1,1,4,942,no_move,17,0,0,0,0,0,1,195,197,native
4847cf9e0fa16c93cfc9f9fbddad016bcf1ffb01-dirty,1,1,1,1,4,303,random_trajectory,17,0,1,0,8,-11391,0,263,265,native
4847cf9e0fa16c93cfc9f9fbddad016bcf1ffb01-dirty,1,1,1,1,4,911,walls,17,0,0,0,0,-903,0,773,775,native
4847cf9e0fa16c93cfc9f9fbddad016bcf1ffb01-dirty,1,1,1,1,4,846,wells,9,0,0,0,6,-3030,0,413,415,native
4847cf9e0fa16c93cfc9f9fbddad016bcf1ffb01-dirty,1,1,1,1,4,813,blocked_spawn,17,0,0,0,0,-7353,0,399,401,native
4847cf9e0fa16c93cfc9f9fbddad016bcf1ffb01-dirty,1,1,1,1,4,822,equal_scores,34,0,0,1,3,-1719,0,1538,1540,native
4847cf9e0fa16c93cfc9f9fbddad016bcf1ffb01-dirty,1,1,1,1,4,4,heuristic_trajectory,34,0,0,6,6,-2913,0,1538,1540,native
4847cf9e0fa16c93cfc9f9fbddad016bcf1ffb01-dirty,1,1,1,1,4,604,high_stack_holes,34,0,3,3,16,-12624,0,586,588,native
4847cf9e0fa16c93cfc9f9fbddad016bcf1ffb01-dirty,1,1,1,1,4,810,last_candidate_winner,17,0,1,5,4,-1530,0,773,775,native
4847cf9e0fa16c93cfc9f9fbddad016bcf1ffb01-dirty,1,1,1,1,4,969,no_move,9,0,0,0,0,0,1,107,109,native
4847cf9e0fa16c93cfc9f9fbddad016bcf1ffb01-dirty,1,1,1,1,4,304,random_trajectory,17,0,1,0,2,-4476,0,773,775,native
4847cf9e0fa16c93cfc9f9fbddad016bcf1ffb01-dirty,1,1,1,1,4,914,walls,17,0,0,0,0,-903,0,773,775,native
4847cf9e0fa16c93cfc9f9fbddad016bcf1ffb01-dirty,1,1,1,1,4,848,wells,17,0,1,3,5,-2943,0,773,775,native
4847cf9e0fa16c93cfc9f9fbddad016bcf1ffb01-dirty,1,1,1,1,4,814,blocked_spawn,17,0,0,7,0,-7251,0,331,333,native
4847cf9e0fa16c93cfc9f9fbddad016bcf1ffb01-dirty,1,1,1,1,4,830,equal_scores,17,0,1,2,3,-1734,0,773,775,native
4847cf9e0fa16c93cfc9f9fbddad016bcf1ffb01-dirty,1,1,1,1,4,5,heuristic_trajectory,9,0,0,3,4,-1806,0,413,415,native
